init	_101001010111*101000101	0
right	+101001010111*101000101	1
right	+101001010111*101000101	2
right	+101001010111*101000101	3
right	+101001010111*101000101	4
right	+101001010111*101000101	5
right	+101001010111*101000101	6
right	+101001010111*101000101	7
right	+101001010111*101000101	8
right	+101001010111*101000101	9
right	+101001010111*101000101	10
right	+101001010111*101000101	11
right	+101001010111*101000101	12
right	+101001010111*101000101	13
right	+101001010111*101000101	14
right	+101001010111*101000101	15
right	+101001010111*101000101	16
right	+101001010111*101000101	17
right	+101001010111*101000101	18
right	+101001010111*101000101	19
right	+101001010111*101000101	20
right	+101001010111*101000101	21
right	+101001010111*101000101	22
right	+101001010111*101000101_	23
readB	+101001010111*101000101_	22
addA	+101001010111*10100010__	21
addA	+101001010111*10100010__	20
addA	+101001010111*10100010__	19
addA	+101001010111*10100010__	18
addA	+101001010111*10100010__	17
addA	+101001010111*10100010__	16
addA	+101001010111*10100010__	15
addA	+101001010111*10100010__	14
addA	+101001010111*10100010__	13
read	+101001010111*10100010__	12
have1	+10100101011C*10100010__	11
have1	+10100101011C*10100010__	10
have1	+10100101011C*10100010__	9
have1	+10100101011C*10100010__	8
have1	+10100101011C*10100010__	7
have1	+10100101011C*10100010__	6
have1	+10100101011C*10100010__	5
have1	+10100101011C*10100010__	4
have1	+10100101011C*10100010__	3
have1	+10100101011C*10100010__	2
have1	+10100101011C*10100010__	1
have1	+10100101011C*10100010__	0
add1	_+10100101011C*10100010__	0
back1	I+10100101011C*10100010__	1
back1	I+10100101011C*10100010__	2
back1	I+10100101011C*10100010__	3
back1	I+10100101011C*10100010__	4
back1	I+10100101011C*10100010__	5
back1	I+10100101011C*10100010__	6
back1	I+10100101011C*10100010__	7
back1	I+10100101011C*10100010__	8
back1	I+10100101011C*10100010__	9
back1	I+10100101011C*10100010__	10
back1	I+10100101011C*10100010__	11
back1	I+10100101011C*10100010__	12
back1	I+10100101011C*10100010__	13
read	I+101001010111*10100010__	12
have1	I+1010010101C1*10100010__	11
have1	I+1010010101C1*10100010__	10
have1	I+1010010101C1*10100010__	9
have1	I+1010010101C1*10100010__	8
have1	I+1010010101C1*10100010__	7
have1	I+1010010101C1*10100010__	6
have1	I+1010010101C1*10100010__	5
have1	I+1010010101C1*10100010__	4
have1	I+1010010101C1*10100010__	3
have1	I+1010010101C1*10100010__	2
have1	I+1010010101C1*10100010__	1
add1	I+1010010101C1*10100010__	0
add1	_I+1010010101C1*10100010__	0
back1	II+1010010101C1*10100010__	1
back1	II+1010010101C1*10100010__	2
back1	II+1010010101C1*10100010__	3
back1	II+1010010101C1*10100010__	4
back1	II+1010010101C1*10100010__	5
back1	II+1010010101C1*10100010__	6
back1	II+1010010101C1*10100010__	7
back1	II+1010010101C1*10100010__	8
back1	II+1010010101C1*10100010__	9
back1	II+1010010101C1*10100010__	10
back1	II+1010010101C1*10100010__	11
back1	II+1010010101C1*10100010__	12
back1	II+1010010101C1*10100010__	13
read	II+101001010111*10100010__	12
have1	II+101001010C11*10100010__	11
have1	II+101001010C11*10100010__	10
have1	II+101001010C11*10100010__	9
have1	II+101001010C11*10100010__	8
have1	II+101001010C11*10100010__	7
have1	II+101001010C11*10100010__	6
have1	II+101001010C11*10100010__	5
have1	II+101001010C11*10100010__	4
have1	II+101001010C11*10100010__	3
have1	II+101001010C11*10100010__	2
add1	II+101001010C11*10100010__	1
add1	II+101001010C11*10100010__	0
add1	_II+101001010C11*10100010__	0
back1	III+101001010C11*10100010__	1
back1	III+101001010C11*10100010__	2
back1	III+101001010C11*10100010__	3
back1	III+101001010C11*10100010__	4
back1	III+101001010C11*10100010__	5
back1	III+101001010C11*10100010__	6
back1	III+101001010C11*10100010__	7
back1	III+101001010C11*10100010__	8
back1	III+101001010C11*10100010__	9
back1	III+101001010C11*10100010__	10
back1	III+101001010C11*10100010__	11
back1	III+101001010C11*10100010__	12
back1	III+101001010C11*10100010__	13
read	III+101001010111*10100010__	12
have0	III+10100101C111*10100010__	11
have0	III+10100101C111*10100010__	10
have0	III+10100101C111*10100010__	9
have0	III+10100101C111*10100010__	8
have0	III+10100101C111*10100010__	7
have0	III+10100101C111*10100010__	6
have0	III+10100101C111*10100010__	5
have0	III+10100101C111*10100010__	4
have0	III+10100101C111*10100010__	3
add0	III+10100101C111*10100010__	2
back0	III+10100101C111*10100010__	1
back0	III+10100101C111*10100010__	2
back0	III+10100101C111*10100010__	3
back0	III+10100101C111*10100010__	4
back0	III+10100101C111*10100010__	5
back0	III+10100101C111*10100010__	6
back0	III+10100101C111*10100010__	7
back0	III+10100101C111*10100010__	8
back0	III+10100101C111*10100010__	9
back0	III+10100101C111*10100010__	10
back0	III+10100101C111*10100010__	11
back0	III+10100101C111*10100010__	12
